Kayttajanimi;Minulle jaa riittavasti aikaa harrastuksille tyon/koulun ohella.;Herasin aamulla virkeana.;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;Liikuin eilen tavoitteiden mukaisesti.;Naen lahes paivittain ihmisia kasvokkain.;Ruoka tuo minulle mielihyvaa.;Saannollinen liikunta ja terveellinen ruoka ovat minulle tarkeita.;Soin tanaan kunnon aamupalan.;Nukun riittavasti oisin.;Kavin eilen ulkoilemassa ja liikuin riittavasti.;Pidan itsestani.;Menin eilen nukkumaan sopivaan aikaan.
1500;3;2;1;4;3;4;4;4;3;3;2;1
7469;2;2;4;2;4;4;;;;;;
7968;4;4;5;4;5;4;5;5;5;5;4;5
9253;4;5;4;5;3;5;4;5;5;5;3;4
21084;4;2;1;1;5;5;4;3;2;3;4;3
34725;4;4;5;5;5;4;5;5;4;5;4;2
123098;2;3;3;5;5;5;5;4;3;4;4;4
145789;5;2;5;2;5;4;4;4;3;5;4;4
222426;5;4;4;1;5;2;5;5;2;2;3;4
290520;4;2;4;2;2;4;;;4;4;4;4
369369;2;4;3;1;3;5;4;4;3;4;3;3
2905202010;4;3;2;4;2;5;4;4;3;4;2;4
29;4;3;2;3;2;4;3;4;2;3;5;1
704;;;;;;;;;2;2;;
907;5;4;2;4;2;4;3;1;1;1;1;2
